ticker,strategy,entry_date,exit_date,dte_entry,days_held,premium_collected,max_risk,pnl,return_pct,profitable,status,dte_bucket
TSLA,Iron Condor,2025-08-29,2025-10-10,56,42,205.99999999999997,294.00000000000006,142.2419693474157,48.38162222701213,True,closed_profit,Long (36-60)
TSLA,Iron Condor,2025-08-29,2025-10-10,56,42,204.0,296.0,145.77374991684192,49.247888485419566,True,closed_profit,Long (36-60)
SLV,Iron Condor,2025-08-29,2025-10-10,56,42,69.0,430.99999999999994,25.44120845734978,5.902832588712247,True,closed_profit,Long (36-60)
NVDA,Iron Condor,2025-08-29,2025-10-17,56,49,133.0,367.0,37.450566804852144,10.204514115763526,True,closed_profit,Long (36-60)
SLV,Iron Condor,2025-08-29,2025-10-17,59,49,76.0,424.0,53.06153709987081,12.514513466950664,True,closed_profit,Long (36-60)
AMZN,Iron Condor,2025-09-05,2025-10-17,56,42,197.99999999999997,302.00000000000006,146.19220727597508,48.40801565429638,True,closed_profit,Long (36-60)
AAPL,Iron Condor,2025-09-05,2025-10-17,56,42,178.99999999999997,321.0,56.147112763762095,17.491312387464827,True,closed_profit,Long (36-60)
NVDA,Iron Condor,2025-09-05,2025-10-17,56,42,172.00000000000003,328.0,85.60316900376824,26.098527135295196,True,closed_profit,Long (36-60)
TSLA,Iron Condor,2025-10-10,2025-10-17,49,7,705.0,-204.99999999999997,455.0,221.95121951219514,True,closed_profit,Long (36-60)
TSLA,Iron Condor,2025-10-10,2025-10-17,49,7,731.0,-230.99999999999997,455.0,196.969696969697,True,closed_profit,Long (36-60)
SLV,Iron Condor,2025-10-10,2025-10-17,42,7,140.0,360.0,37.0,10.277777777777777,True,closed_profit,Long (36-60)
AMZN,Iron Condor,2025-08-29,2025-10-20,56,52,116.00000000000001,384.0,42.99052704038452,11.195449750100135,True,closed_profit,Long (36-60)
TSLA,Iron Condor,2025-10-17,2025-10-20,42,3,593.0,-92.99999999999997,496.0,533.3333333333335,True,closed_profit,Long (36-60)
TSLA,Iron Condor,2025-10-17,2025-10-20,42,3,567.0,-67.0,457.0,682.089552238806,True,closed_profit,Long (36-60)
AAPL,Iron Condor,2025-10-17,2025-10-20,42,3,277.0,223.0,78.0,34.97757847533632,True,closed_profit,Long (36-60)
NVDA,Iron Condor,2025-10-17,2025-10-20,42,3,250.99999999999997,249.00000000000003,70.00000000000003,28.1124497991968,True,closed_profit,Long (36-60)
NVDA,Iron Condor,2025-10-17,2025-10-20,42,3,223.99999999999994,276.00000000000006,78.0,28.260869565217384,True,closed_profit,Long (36-60)
QQQ,Iron Condor,2025-08-22,2025-10-20,60,59,96.0,404.0,96.0,23.762376237623762,True,closed_end,Long (36-60)
QQQ,Iron Condor,2025-08-22,2025-10-20,60,59,88.0,412.0,88.0,21.35922330097087,True,closed_end,Long (36-60)
SPY,Iron Condor,2025-08-22,2025-10-20,60,59,85.00000000000001,415.00000000000006,85.00000000000001,20.481927710843372,True,closed_end,Long (36-60)
SPY,Iron Condor,2025-08-22,2025-10-20,60,59,77.0,423.00000000000006,77.0,18.203309692671393,True,closed_end,Long (36-60)
IWM,Iron Condor,2025-08-22,2025-10-20,60,59,71.0,429.0,71.0,16.55011655011655,True,closed_end,Long (36-60)
GLD,Iron Condor,2025-08-29,2025-10-20,59,52,241.0,259.0,241.0,93.05019305019306,True,closed_end,Long (36-60)
GLD,Iron Condor,2025-08-29,2025-10-20,59,52,240.00000000000003,259.99999999999994,240.00000000000003,92.30769230769234,True,closed_end,Long (36-60)
IWM,Iron Condor,2025-08-29,2025-10-20,56,52,155.0,345.0,155.0,44.927536231884055,True,closed_end,Long (36-60)
MSFT,Iron Condor,2025-08-29,2025-10-20,56,52,150.99999999999997,349.0,150.99999999999997,43.266475644699135,True,closed_end,Long (36-60)
AAPL,Iron Condor,2025-08-29,2025-10-20,56,52,127.0,373.0,127.0,34.048257372654156,True,closed_end,Long (36-60)
MSFT,Iron Condor,2025-08-29,2025-10-20,56,52,123.99999999999997,376.0,123.99999999999997,32.97872340425531,True,closed_end,Long (36-60)
AMZN,Iron Condor,2025-10-17,2025-10-20,42,3,233.0,267.0,233.0,87.26591760299625,True,closed_end,Long (36-60)
SLV,Iron Condor,2025-10-17,2025-10-20,42,3,136.0,364.0,136.0,37.362637362637365,True,closed_end,Long (36-60)
SLV,Iron Condor,2025-10-17,2025-10-20,42,3,134.0,366.0,134.0,36.6120218579235,True,closed_end,Long (36-60)
AAPL,Iron Condor,2025-10-20,2025-10-20,60,0,434.99999999999994,65.00000000000003,434.99999999999994,669.2307692307688,True,closed_end,Long (36-60)
AMZN,Iron Condor,2025-10-20,2025-10-20,60,0,412.0,87.99999999999999,412.0,468.18181818181824,True,closed_end,Long (36-60)
TSLA,Iron Condor,2025-10-20,2025-10-20,60,0,1220.0,-719.9999999999999,1220.0,169.44444444444446,True,closed_end,Long (36-60)
TSLA,Iron Condor,2025-10-20,2025-10-20,60,0,1283.0000000000002,-783.0000000000002,1283.0000000000002,163.85696040868453,True,closed_end,Long (36-60)
NVDA,Iron Condor,2025-10-20,2025-10-20,60,0,220.00000000000006,279.99999999999994,220.00000000000006,78.5714285714286,True,closed_end,Long (36-60)
NVDA,Iron Condor,2025-10-20,2025-10-20,60,0,205.00000000000006,294.99999999999994,205.00000000000006,69.49152542372885,True,closed_end,Long (36-60)
